nrClients,clientIndex,rep,threads,concurrency,overwrite,time,avg,std,tps
2,2,25,1,16,1.0,60,122.0,45.49,129903.0
1,1,1,1,32,1.0,60,215.0,60.59,148427.0
2,1,1,1,32,1.0,60,224.0,99.91,141818.0
2,2,1,1,32,1.0,60,231.0,101.52,138070.0
1,1,2,1,32,1.0,60,257.0,80.4,123802.0
2,1,2,1,32,1.0,60,233.0,100.91,136726.0
2,2,2,1,32,1.0,60,228.0,98.47,139434.0
1,1,3,1,32,1.0,60,233.0,74.39,136748.0
2,1,3,1,32,1.0,60,226.0,123.86,141127.0
2,2,3,1,32,1.0,60,257.0,91.08,123742.0
1,1,4,1,32,1.0,60,209.0,63.05,152630.0
2,1,4,1,32,1.0,60,224.0,120.38,142141.0
2,2,4,1,32,1.0,60,271.0,94.32,117524.0
1,1,5,1,32,1.0,60,259.0,74.73,123306.0
2,1,5,1,32,1.0,60,269.0,72.39,118531.0
2,2,5,1,32,1.0,60,296.0,105.02,107666.0
1,1,6,1,32,1.0,60,249.0,74.01,128083.0
2,1,6,1,32,1.0,60,232.0,104.55,137025.0
2,2,6,1,32,1.0,60,239.0,106.33,133112.0
1,1,7,1,32,1.0,60,250.0,77.41,127263.0
2,1,7,1,32,1.0,60,230.0,102.85,138327.0
2,2,7,1,32,1.0,60,230.0,103.33,138276.0
1,1,8,1,32,1.0,60,258.0,79.06,123388.0
2,1,8,1,32,1.0,60,228.0,102.69,139433.0
2,2,8,1,32,1.0,60,236.0,105.67,134762.0
1,1,9,1,32,1.0,60,230.0,68.92,138608.0
2,1,9,1,32,1.0,60,239.0,103.47,133035.0
2,2,9,1,32,1.0,60,237.0,102.37,134239.0
1,1,10,1,32,1.0,60,215.0,64.32,147877.0
2,1,10,1,32,1.0,60,238.0,106.94,133550.0
2,2,10,1,32,1.0,60,228.0,100.42,139332.0
1,1,11,1,32,1.0,60,213.0,64.57,149419.0
2,1,11,1,32,1.0,60,272.0,71.98,117176.0
2,2,11,1,32,1.0,60,310.0,109.25,102804.0
1,1,12,1,32,1.0,60,249.0,75.99,128136.0
2,1,12,1,32,1.0,60,269.0,76.61,118256.0
2,2,12,1,32,1.0,60,310.0,108.76,102833.0
1,1,13,1,32,1.0,60,257.0,74.53,124012.0
2,1,13,1,32,1.0,60,244.0,217.29,130359.0
2,2,13,1,32,1.0,60,279.0,202.44,114295.0
1,1,14,1,32,1.0,60,247.0,72.92,129167.0
2,1,14,1,32,1.0,60,240.0,105.65,132599.0
2,2,14,1,32,1.0,60,234.0,102.09,135907.0
1,1,15,1,32,1.0,60,254.0,74.67,125696.0
2,1,15,1,32,1.0,60,236.0,105.98,135119.0
2,2,15,1,32,1.0,60,229.0,104.76,138840.0
1,1,16,1,32,1.0,60,214.0,66.68,148533.0
2,1,16,1,32,1.0,60,226.0,124.0,140920.0
2,2,16,1,32,1.0,60,260.0,92.46,122493.0
1,1,17,1,32,1.0,60,212.0,59.62,150460.0
2,1,17,1,32,1.0,60,228.0,120.57,139612.0
2,2,17,1,32,1.0,60,265.0,91.13,120236.0
1,1,18,1,32,1.0,60,248.0,74.09,128348.0
2,1,18,1,32,1.0,60,238.0,99.28,133989.0
2,2,18,1,32,1.0,60,231.0,98.93,137773.0
1,1,19,1,32,1.0,60,223.0,71.18,142504.0
2,1,19,1,32,1.0,60,235.0,102.45,135667.0
2,2,19,1,32,1.0,60,235.0,102.62,135732.0
1,1,20,1,32,1.0,60,225.0,77.62,141578.0
2,1,20,1,32,1.0,60,239.0,101.96,133397.0
2,2,20,1,32,1.0,60,238.0,97.75,133960.0
1,1,21,1,32,1.0,60,229.0,69.14,139115.0
2,1,21,1,32,1.0,60,250.0,126.96,127573.0
2,2,21,1,32,1.0,60,253.0,90.92,126132.0
1,1,22,1,32,1.0,60,255.0,80.38,124960.0
2,1,22,1,32,1.0,60,227.0,99.2,139947.0
2,2,22,1,32,1.0,60,242.0,102.08,131773.0
1,1,23,1,32,1.0,60,247.0,70.62,129169.0
2,1,23,1,32,1.0,60,235.0,127.07,135247.0
2,2,23,1,32,1.0,60,249.0,91.24,127954.0
1,1,24,1,32,1.0,60,247.0,69.79,129233.0
